# omega_2;min_population;time_for_min_population;min_fidelity;time_for_min_fidelity;max_fidelity;time_for_max_fidelity;last_fidelity
3994.1666666666665;0.99596794289419621;10;0.99893827083977826;10;1;0.0001;0.99893827083977826
3994.1999999999998;0.99597436889564306;10;0.99894471314966715;10;1;0.0001;0.99894471314966715
3994.2333333333331;0.99598072287182304;10;0.99895108321694215;10;1;0.0001;0.99895108321694215
3994.2666666666669;0.99598700469463208;10;0.99895738091314468;10;1;0.0001;0.99895738091314468
3994.3000000000002;0.99599321423720955;10;0.99896360611106394;10;1;0.0001;0.99896360611106394
3994.3333333333335;0.99599935137406703;10;0.99896975868486515;10;1;0.0001;0.99896975868486515
3994.3666666666668;0.99600541598110659;10;0.99897583851010885;10;1;0.0001;0.99897583851010885
3994.4000000000001;0.99601140793558529;10;0.99898184546371416;10;1;0.0001;0.99898184546371416
3994.4333333333334;0.99601732711612723;10;0.99898777942397154;10;1;0.0001;0.99898777942397154
3994.4666666666667;0.9960231734027305;10;0.99899364027054949;10;1;0.0001;0.99899364027054949
3994.5;0.9960289466767962;10;0.99899942788452423;10;1;0.0001;0.99899942788452423
3994.5333333333333;0.99603464682112375;10;0.9990051421483741;10;1;0.0001;0.9990051421483741
3994.5666666666666;0.99604027371985393;10;0.99901078294592305;10;1;0.0001;0.99901078294592305
3994.5999999999999;0.99604582725861224;10;0.99901635016248402;10;1;0.0001;0.99901635016248402
3994.6333333333332;0.99605130732437142;10;0.99902184368472191;10;1;0.0001;0.99902184368472191
3994.6666666666665;0.99605671380555649;10;0.99902726340075776;10;1;0.0001;0.99902726340075776
3994.6999999999998;0.99606204659199316;10;0.99903260920011761;10;1;0.0001;0.99903260920011761
3994.7333333333331;0.99606730557492396;10;0.99903788097374879;10;1;0.0001;0.99903788097374879
3994.7666666666669;0.99607249064702796;10;0.99904307861403918;10;1;0.0001;0.99904307861403918
3994.8000000000002;0.9960776017024694;10;0.99904820201486677;10;1;0.0001;0.99904820201486677
3994.8333333333335;0.99608263863678614;10;0.99905325107148735;10;1;0.0001;0.99905325107148735
3994.8666666666668;0.99608760134697671;10;0.9990582256806213;10;1;0.0001;0.9990582256806213
3994.9000000000001;0.9960924897315464;10;0.99906312574050093;10;1;0.0001;0.99906312574050093
3994.9333333333334;0.99609730369037586;10;0.99906795115073765;10;1;0.0001;0.99906795115073765
3994.9666666666667;0.99610204312489603;10;0.99907270181249797;10;1;0.0001;0.99907270181249797
3995;0.99610670793794542;10;0.99907737762836024;10;1;0.0001;0.99907737762836024
3995.0333333333333;0.99611129803383558;10;0.99908197850238034;10;1;0.0001;0.99908197850238034
3995.0666666666666;0.99611581331837828;10;0.99908650434011892;10;1;0.0001;0.99908650434011892
3995.0999999999999;0.99612025369884905;10;0.99909095504860468;10;1;0.0001;0.99909095504860468
3995.1333333333332;0.99612461908408068;10;0.99909533053642863;10;1;0.0001;0.99909533053642863
3995.1666666666665;0.99612890938429244;10;0.99909963071357211;10;1;0.0001;0.99909963071357211
3995.1999999999998;0.99613312451123082;10;0.99910385549154834;10;1;0.0001;0.99910385549154834
3995.2333333333331;0.99613726437820049;10;0.99910800478343342;10;1;0.0001;0.99910800478343342
3995.2666666666669;0.99614132889998053;10;0.9991120785037827;10;1;0.0001;0.9991120785037827
3995.3000000000002;0.99614531799279604;10;0.99911607656860135;10;1;0.0001;0.99911607656860135
3995.3333333333335;0.99614923157447488;10;0.9991199988955024;10;1;0.0001;0.9991199988955024
3995.3666666666668;0.99615306956432603;10;0.99912384540358468;10;1;0.0001;0.99912384540358468
3995.4000000000001;0.99615683188317961;10;0.99912761601347244;10;1;0.0001;0.99912761601347244
3995.4333333333334;0.99616051845342002;10;0.99913131064734884;10;1;0.0001;0.99913131064734884
3995.4666666666667;0.99616412919890451;10;0.9991349292288747;10;1;0.0001;0.9991349292288747
3995.5;0.99616766404508694;10;0.99913847168331194;10;1;0.0001;0.99913847168331194
3995.5333333333333;0.99617112291890475;10;0.99914193793741068;10;1;0.0001;0.99914193793741068
3995.5666666666666;0.99617450574890043;10;0.99914532791953092;10;1;0.0001;0.99914532791953092
3995.5999999999999;0.99617781246512116;10;0.99914864155954197;10;1;0.0001;0.99914864155954197
3995.6333333333332;0.99618104299911403;10;0.99915187878881728;10;1;0.0001;0.99915187878881728
3995.6666666666665;0.99618419728408858;10;0.99915503954039797;10;1;0.0001;0.99915503954039797
3995.6999999999998;0.99618727525473294;10;0.99915812374880841;10;1;0.0001;0.99915812374880841
3995.7333333333331;0.99619027684735439;10;0.99916113135019646;10;1;0.0001;0.99916113135019646
3995.7666666666669;0.99619320199973105;10;0.99916406228218557;10;1;0.0001;0.99916406228218557
3995.8000000000002;0.99619605065130878;10;0.99916691648407208;10;1;0.0001;0.99916691648407208
3995.8333333333335;0.99619882274301375;10;0.9991696938966369;10;1;0.0001;0.9991696938966369
3995.8666666666668;0.99620151821743586;10;0.99917239446232964;10;1;0.0001;0.99917239446232964
3995.9000000000001;0.99620413701868038;10;0.99917501812512;10;1;0.0001;0.99917501812512
3995.9333333333334;0.99620667909239702;10;0.99917756483052655;10;1;0.0001;0.99917756483052655
3995.9666666666667;0.99620914438593045;10;0.9991800345257682;10;1;0.0001;0.9991800345257682
3996;0.99621153284810227;10;0.99918242715954475;10;1;0.0001;0.99918242715954475
3996.0333333333333;0.99621384442932726;10;0.99918474268215474;10;1;0.0001;0.99918474268215474
3996.0666666666666;0.99621607908172216;10;0.99918698104560288;10;1;0.0001;0.99918698104560288
3996.0999999999999;0.99621823675885679;10;0.99918914220335209;10;1;0.0001;0.99918914220335209
3996.1333333333332;0.99622031741595773;10;0.99919122611052658;10;1;0.0001;0.99919122611052658
3996.1666666666665;0.99622232100988561;10;0.99919323272388949;10;1;0.0001;0.99919323272388949
3996.1999999999998;0.99622424749899396;10;0.99919516200170178;10;1;0.0001;0.99919516200170178
3996.2333333333331;0.9962260968433192;10;0.99919701390391169;10;1;0.0001;0.99919701390391169
3996.2666666666669;0.99622786900450078;10;0.99919878839207599;10;1;0.0001;0.99919878839207599
3996.3000000000002;0.99622956394574291;10;0.99920048542932027;10;1;0.0001;0.99920048542932027
3996.3333333333335;0.99623118163190838;10;0.99920210498043427;10;1;0.0001;0.99920210498043427
3996.3666666666668;0.99623272202938729;10;0.99920364701173903;10;1;0.0001;0.99920364701173903
3996.4000000000001;0.9962341851063119;10;0.99920511149130331;10;1;0.0001;0.99920511149130331
3996.4333333333334;0.99623557083224945;10;0.99920649838863529;10;1;0.0001;0.99920649838863529
3996.4666666666667;0.99623687917853554;10;0.9992078076750166;10;1;0.0001;0.9992078076750166
3996.5;0.99623811011801566;10;0.99920903932324279;10;1;0.0001;0.99920903932324279
3996.5333333333333;0.99623926362524051;10;0.99921019330782102;10;1;0.0001;0.99921019330782102
3996.5666666666666;0.99624033967631687;10;0.99921126960481776;10;1;0.0001;0.99921126960481776
3996.5999999999999;0.99624133824899719;10;0.99921226819195097;10;1;0.0001;0.99921226819195097
3996.6333333333332;0.99624225932262067;10;0.99921318904852985;10;1;0.0001;0.99921318904852985
3996.6666666666665;0.99624310287818585;10;0.99921403215552773;10;1;0.0001;0.99921403215552773
3996.6999999999998;0.99624386889832917;10;0.99921479749556097;10;1;0.0001;0.99921479749556097
3996.7333333333331;0.99624455736724138;10;0.999215485052805;10;1;0.0001;0.999215485052805
3996.7666666666669;0.99624516827078691;10;0.99921609481311358;10;1;0.0001;0.99921609481311358
3996.8000000000002;0.99624570159646997;10;0.99921662676398526;10;1;0.0001;0.99921662676398526
3996.8333333333335;0.99624615733334709;10;0.99921708089447581;10;1;0.0001;0.99921708089447581
3996.8666666666668;0.99624653547217412;10;0.99921745719534494;10;1;0.0001;0.99921745719534494
3996.9000000000001;0.99624683600531705;10;0.99921775565896764;10;1;0.0001;0.99921775565896764
3996.9333333333334;0.99624705892676935;10;0.99921797627935127;10;1;0.0001;0.99921797627935127
3996.9666666666667;0.99624720423211721;10;0.99921811905210045;10;1;0.0001;0.99921811905210045
3997;0.99624727191861595;10;0.99921818397449402;10;1;0.0001;0.99921818397449402
3997.0333333333333;0.99624726198508817;10;0.9992181710453828;10;1;0.0001;0.9992181710453828
3997.0666666666666;0.9962471744321113;10;0.99921808026537773;10;1;0.0001;0.99921808026537773
3997.0999999999999;0.99624700926172682;10;0.99921791163655771;10;1;0.0001;0.99921791163655771
3997.1333333333332;0.99624676647772126;10;0.99921766516275268;10;1;0.0001;0.99921766516275268
3997.1666666666665;0.99624644608544111;10;0.99921734084935654;10;1;0.0001;0.99921734084935654
3997.1999999999998;0.99624604809190964;10;0.99921693870344508;10;1;0.0001;0.99921693870344508
3997.2333333333331;0.99624557250576484;10;0.99921645873371412;10;1;0.0001;0.99921645873371412
3997.2666666666669;0.99624501933724829;10;0.99921590095046697;10;1;0.0001;0.99921590095046697
3997.3000000000002;0.99624438859824993;10;0.99921526536566108;10;1;0.0001;0.99921526536566108
3997.3333333333335;0.99624368030226118;10;0.99921455199285947;10;1;0.0001;0.99921455199285947
3997.3666666666668;0.99624289446439418;10;0.99921376084725111;10;1;0.0001;0.99921376084725111
3997.4000000000001;0.99624203110145282;10;0.9992128919457216;10;1;0.0001;0.9992128919457216
3997.4333333333334;0.99624109023176788;10;0.99921194530668833;10;1;0.0001;0.99921194530668833
3997.4666666666667;0.99624007187535113;10;0.99921092095025388;10;1;0.0001;0.99921092095025388
3997.5;0.99623897605382439;10;0.99920981889813631;10;1;0.0001;0.99920981889813631
3997.5333333333333;0.9962378027903972;10;0.999208639173646;10;1;0.0001;0.999208639173646
3997.5666666666666;0.99623655210997752;10;0.9992073818017968;10;1;0.0001;0.9992073818017968
3997.5999999999999;0.99623522403900155;10;0.99920604680913516;10;1;0.0001;0.99920604680913516
3997.6333333333332;0.99623381860554716;10;0.99920463422385419;10;1;0.0001;0.99920463422385419
3997.6666666666665;0.99623233583932636;10;0.99920314407578625;10;1;0.0001;0.99920314407578625
3997.6999999999998;0.99623077577166097;10;0.99920157639637774;10;1;0.0001;0.99920157639637774
3997.7333333333331;0.99622913843545624;10;0.99919993121866368;10;1;0.0001;0.99919993121866368
3997.7666666666669;0.99622742386527452;10;0.99919820857734098;10;1;0.0001;0.99919820857734098
3997.8000000000002;0.99622563209721393;10;0.99919640850864666;10;1;0.0001;0.99919640850864666
3997.8333333333335;0.99622376316905903;10;0.99919453105050937;10;1;0.0001;0.99919453105050937
3997.8666666666668;0.99622181712016045;10;0.99919257624242852;10;1;0.0001;0.99919257624242852
3997.9000000000001;0.99621979399141869;10;0.99919054412545794;10;1;0.0001;0.99919054412545794
3997.9333333333334;0.99621769382544145;10;0.99918843474236363;10;1;0.0001;0.99918843474236363
3997.9666666666667;0.99621551666630959;10;0.99918624813738899;10;1;0.0001;0.99918624813738899
3998;0.99621326255982423;10;0.99918398435650324;10;1;0.0001;0.99918398435650324
3998.0333333333333;0.99621093155330498;10;0.9991816434471984;10;1;0.0001;0.9991816434471984
3998.0666666666666;0.99620852369565549;10;0.99917922545855486;10;1;0.0001;0.99917922545855486
3998.0999999999999;0.99620603903741012;10;0.99917673044128896;10;1;0.0001;0.99917673044128896
3998.1333333333332;0.99620347763063843;10;0.99917415844765656;10;1;0.0001;0.99917415844765656
3998.1666666666665;0.99620083952902017;10;0.99917150953152856;10;1;0.0001;0.99917150953152856
3998.1999999999998;0.99619812478785208;10;0.99916878374839779;10;1;0.0001;0.99916878374839779
3998.2333333333331;0.996195333463884;10;0.99916598115521427;10;1;0.0001;0.99916598115521427
3998.2666666666669;0.99619246561560948;10;0.9991631018106768;10;1;0.0001;0.9991631018106768
3998.3000000000002;0.99618952130297178;10;0.99916014577493828;10;1;0.0001;0.99916014577493828
3998.3333333333335;0.9961865005874716;10;0.99915711310971389;10;1;0.0001;0.99915711310971389
3998.3666666666668;0.9961834035322702;10;0.99915400387838404;10;1;0.0001;0.99915400387838404
3998.4000000000001;0.99618023020200697;10;0.99915081814581153;10;1;0.0001;0.99915081814581153
3998.4333333333334;0.99617698066289628;10;0.99914755597843907;10;1;0.0001;0.99914755597843907
3998.4666666666667;0.99617365498276567;10;0.99914421744432713;10;1;0.0001;0.99914421744432713
3998.5;0.99617025323089026;10;0.99914080261298788;10;1;0.0001;0.99914080261298788
3998.5333333333333;0.99616677547816923;10;0.99913731155556285;10;1;0.0001;0.99913731155556285
3998.5666666666666;0.99616322179703587;10;0.99913374434473157;10;1;0.0001;0.99913374434473157
3998.5999999999999;0.99615959226138506;10;0.99913010105464006;10;1;0.0001;0.99913010105464006
3998.6333333333332;0.99615588694675805;10;0.99912638176108504;10;1;0.0001;0.99912638176108504
3998.6666666666665;0.99615210593021819;10;0.99912258654139019;10;1;0.0001;0.99912258654139019
