# omega_d;r_re_0;r_im_0;r_re_1;r_im_1;last_population_1_0;last_population_1_1;last_population_2_0;last_population_2_1;last_res_population_0;last_res_population_1
5001.9700000000003;0.6155201122366103;0.78807965073427444;-0.97352358128053651;0.16007628274876237;0.0093852500438068656;1.0060037605914456;2.5562986025936197e-05;0.00013756244052222209;3.1512442550337978;15.425919695460339
5001.9750000000004;0.61236409839975481;0.79053339503053799;-0.97632509905150888;0.14104405319154864;0.0094595426090188697;1.0060199485367549;2.5261673801802911e-05;0.00013989594489844122;3.1763044027823537;15.444032052052252
5001.9799999999996;0.60917298572947165;0.79299434388094781;-0.97876118944264623;0.12193944735636544;0.0095346528845842663;1.0060341462194338;2.4959559069881579e-05;0.00014224368945025989;3.201641870602649;15.459282899740542
5001.9849999999997;0.60594627650261668;0.79546239658441253;-0.98082939185349538;0.10277298705462914;0.0096105923407174883;1.0060463363381444;2.4656655914292409e-05;0.0001446043836486853;3.2272605758054311;15.471655286524598
5001.9899999999998;0.60268346331024958;0.7979374441359135;-0.98252764622746946;0.083555299007163297;0.009687372590398171;1.0060565045470842;2.4352979074284923e-05;0.0001469767219141956;3.2531644852898451;15.481135372882036
5001.9949999999999;0.59938402922033873;0.80041936873430286;-0.98385429822937676;0.064297096030151629;0.0097650053836367372;1.0060646394974397;2.4048543996538087e-05;0.00014935938592922719;3.2793576136471492;15.487712467076477
5002;0.59604744797495535;0.80290804330717935;-0.98480810338653813;0.045009157952427999;0.0098435026016641981;1.0060707328693657;2.3743366889113606e-05;0.00015175104698621428;3.3058440212388134;15.491379052634608
5002.0050000000001;0.59267318421607151;0.80540333105841644;-0.98538823018015309;0.025702312307418328;0.0099228762511991784;1.0060747793949285;2.343746477642557e-05;0.00015415036836589958;3.332627812300593;15.49213080790607
5002.0100000000002;0.58926069373758216;0.80790508504115743;-0.9855942620727498;0.0063874148683668152;0.01000313845885723;1.006076776871446;2.3130855555000994e-05;0.00015655600773743826;3.3597131330945653;15.489966617617334
5002.0150000000003;0.58580942376065681;0.81041314775816597;-0.98542619846404134;-0.012924669907207493;0.010084301465768322;1.0060767261655061;2.2823558049681292e-05;0.00015896661957221108;3.3871041701313169;15.484888576375782
5002.0200000000004;0.58231881322883461;0.81292735079226242;-0.98488445457075113;-0.032223088457454148;0.010166377622481146;1.0060746312073057;2.251559207000875e-05;0.00016138085756309579;3.414805148488893;15.476901984104583
5002.0249999999996;0.57878829312007718;0.81544751446798713;-0.98396986023197552;-0.051497017650562402;0.010249379384205134;1.006070498975792;2.2206978466503967e-05;0.00016379737704061632;3.4428203302456843;15.466015333431823
5002.0299999999997;0.57521728676793771;0.81797344754863921;-0.98268365764314147;-0.070735684228321993;0.010333319306550936;1.0060643394741973;2.1897739186260931e-05;0.00016621483738030719;3.471154013081561;15.452240289062962
